,,,,,
Master Subject ,Master Topic,Master Subtopic,Taxonomy ID,ACTION ,UI Display Name 
Chemistry ,Atomic Structure ,Planck's Quantum Theory and Photoelectric effect,100013,KEEP,Planck's Quantum Theory and Photoelectric effect
,,Bohr's Atomic Model and Its Application ,100014,MERGE,Bohr's Atomic Model and H-line spectra
,,H-line emission spectra ,100015,MERGE,Bohr's Atomic Model and H-line spectra
,,De-Broglie hypothesis and Heisenberg Uncertainity Principle,100016,KEEP,De-Broglie hypothesis and Heisenberg Uncertainity Principle
,,Quantum Mechanical Model of H-atom,100017,MERGE,Quantum numbers and Electronic configuration 
,,Rules for filling the electrons in atomic orbitals.,100018,MERGE,Quantum numbers and Electronic configuration 
Chemistry ,Coordination compounds ,Werners Theory,100019,KEEP,Werners Theory
,,Valence bond theory,100020,KEEP,Valence bond theory
,,Crystal field theory,100021,KEEP,Crystal field theory
Chemistry ,Chemical Kinetics ,"Integrated rate law: Zero, first, second and nth order",100022,KEEP,Zero and first order reaction 
,,"Arrehenius equation, Collision Theory",100023,KEEP,"Arrehenius equation, Collision Theory"
,,Effect of catalyst on rate law,100024,KEEP,Effect of catalyst on rate law
Mathematics,Sets & Functions,Sets & Relations,100000,KEEP,Sets & Relations
,,Functions & Mappings,100001,KEEP,Functions & Mappings
Mathematics,Matrices & Determinants,Matrices,100002,KEEP,Matrices
,,Determinants & Applications,100003,KEEP,Determinants & Applications
Mathematics,Calculus ,Limits & Continuity,100004,KEEP,Limits & Continuity
,,Differentiation,100005,KEEP,Differentiation
,,Indefinite Integration & Definite Integration,100006,KEEP,Indefinite Integration & Definite Integration
Physics ,Laws of Motion,Newton's Laws of Motion,100007,KEEP,Newton's Laws of Motion
,,Friction,100008,KEEP,Friction
,,Circular Motion Dynamics,100009,KEEP,Circular Motion 
Physics ,Electrostatics,Electric Field & Gauss's Law,100010,KEEP,Electric Field & Gauss's Law
,,Electric Potential & Equipotential Surfaces,100011,KEEP,Electric Potential & Equipotential Surfaces
,,Capacitance & Capacitors,100012,KEEP,Capacitance & Capacitors
,,,,,
Biochemistry,Biomolecules- Proteins,Amino Acid Structure & Properties,100025,KEEP,Amino Acid Structure & Properties
,,Peptide Bonds & Primary Sequence,100026,KEEP,Peptide Bonds & Primary Sequence
,,Secondary Structure & Ramachandran Plot,100027,KEEP,Secondary Structure & Ramachandran Plot
Biochemistry,Biomolecules - Carbohydrates,Monosaccharide: Structure,100028,KEEP,Monosaccharide: Structure
,,Disaccharides & Glycosidic Bonds,100029,KEEP,Disaccharides & Glycosidic Bonds
,,Storage Polysaccharides,100030,KEEP,Storage Polysaccharides
,,,,,
Biochemistry,Biomolecules - Nucleic Acids,Nucleotide Chemistry & Structure,100032,KEEP,Nucleotide Chemistry & Structure
,,DNA Topology and Supercoiling,100033,KEEP,DNA Topology and Supercoiling
,,RNA Structure & Ribozymes,100034,KEEP,RNA Structure & Ribozymes
,,Denaturation & Renaturation,100035,KEEP,Denaturation & Renaturation
